_id_x;ID;APT;COMUNE_CODICE;COMUNE;DENOMINAZIONE;TIPOLOGIA;CATEGORIA;INDIRIZZO;FRAZIONE;CAP;PROV;TELEFONO;TELEFONO2;FAX;WEB;EMAIL;COORDX;COORDY;TOTALE_UNITA;TOTALE_LETTI;TOTALE_BAGNI;geometry;_id_y;CODICE;COD_ISTAT;DESCRIZIONE
21;6643;2;54001;ASSISI;AGRITURISMO LA ROCCA;Agriturismo;4 spighe;Rocca  Sant' Angelo ;ROCCA SANT'ANGELO;06081;PG;0758039289;3387050897;;www.agristar.it;info@agristar.it;2320907.09957;4778015.62082;5;12;5;POINT (2320907.09957 4778015.62082);2;2;543102;ASSISANO
22;14547;2;54001;ASSISI;AGRITURISMO LE CASE;Agriturismo;3 spighe;Via Sanat Maria di Lignano - Voc. Le Case 42;SANTA MARIA DI LIGNANO;06081;PG;075802431;3356760217;;www.lecase.biz;assisiresort1@gmail.com;2333097.47994;4777327.42742;20;30;19;POINT (2333097.47994 4777327.42742);2;2;543102;ASSISANO
23;18218;2;54001;ASSISI;AGRITURISMO LE SORGENTI;Agriturismo;3 spighe;Loc. Paradiso 40;;06081;PG;0759976028;3347447841;;;mar.stoppini@gmail.com;1956886.0;5128102.0;3;10;3;POINT (1956886 5128102);2;2;543102;ASSISANO
24;5031;2;54001;ASSISI;AGRITURISMO LONGETTI;Agriturismo;4 spighe;Via  Biagiano 35;;06081;PG;075816175;;0759869562;www.agriturismolongetti.com;webmaster@agriturismolongetti.com;2324371.21619596;4774723.949234599;9;15;9;POINT (2324371.21619596 4774723.949234599);2;2;543102;ASSISANO
25;16622;2;54001;ASSISI;AGRITURISMO PONTE ROSSO;Agriturismo;1 spiga;Via Tescio 6;SANTA MARIA DEGLI ANGELI;06081;PG;3392432883;0758001180;;;info@assisium.com;1956886.0;5128102.0;1;2;1;POINT (1956886 5128102);2;2;543102;ASSISANO
26;4897;2;54001;ASSISI;AGRITURISMO SIENA;Agriturismo;2 spighe;Via  Della  Pescara 11;;06081;PG;075813382;;;;;2326029.62493;4771374.3524;4;9;4;POINT (2326029.62493 4771374.3524);2;2;543102;ASSISANO
27;9925;2;54001;ASSISI;AGRITURISMO SOLELUNA;Agriturismo;1 spiga;Costa  di  Trex 54;COSTA DI TREX;06081;PG;3471558278;3348509067;0758064506;www.agriturismosoleluna.it;info@agriturismosoleluna.it;2330640.26841;4773009.23541;6;23;7;POINT (2330640.26841 4773009.23541);2;2;543102;ASSISANO
28;18324;2;54001;ASSISI;AL CASALE LA GERLA di Amicarelli Sara;Bed & Breakfast;Bed & Breakfast;Via Madre Terra 21;;06081;PG;3286286343;3333272965;;;alcasalelagerla@libero.it;1956886.0;5128102.0;3;7;3;POINT (1956886 5128102);2;2;543102;ASSISANO
29;13537;2;54001;ASSISI;AL CASALINO  di Caldari Gabriele;Bed & Breakfast;Bed & Breakfast;Via San Rufino 2;;06081;PG;3476123213;;;www.alcasalino.it;alcasalino@alice.it;2325880.8212900003;4771475.662169999;1;2;1;POINT (2325880.82129 4771475.662169999);2;2;543102;ASSISANO
30;9653;2;54001;ASSISI;AL PIAN D'ASSISI di Alessandretti  Simone;Bed & Breakfast;Bed & Breakfast;Via  San Martino 14;;06081;PG;075816362;3391211850;075816362;www.alpiandassisi.it;info@alpiandassisi.it;2326029.62493;4771374.3524;4;7;4;POINT (2326029.62493 4771374.3524);2;2;543102;ASSISANO
31;18019;2;54001;ASSISI;AL RIVOBELLO di Scatolini Gianna;Affittacamere;Affittacamere;Via Monte Subasio 9;RIVOTORTO;06081;PG;3665449774;0758064505;;;gianna.scatolini@gmail.com;1956886.0;5128102.0;4;8;3;POINT (1956886 5128102);2;2;543102;ASSISANO
32;19411;2;54001;ASSISI;AL TEATRO ROMANO di Rinaldi Giuseppe;Bed & Breakfast;Bed & Breakfast;Vicolo Bovi 1;;06081;PG;075812725;3285406280;;;giuseppe.federici1@studenti.unipg.it;1956886.0;5128102.0;1;3;2;POINT (1956886 5128102);2;2;543102;ASSISANO
33;16441;2;54001;ASSISI;ALL'ANTICA MATTONATA;Agriturismo con area di sosta;1 spiga;Via Francesca 1;;06081;PG;3384940829;3482264125;075813403;www.allanticamattonata.com;allanticamattonata@gmail.com;1956886.0;5128102.0;12;30;10;POINT (1956886 5128102);2;2;543102;ASSISANO
34;17633;2;54001;ASSISI;ALL'OMBRA DI SAN DAMIANO di Vincenti Giulio;Bed & Breakfast;Bed & Breakfast;Via Frate Foco 3;;06081;PG;3931957698;349 1319069;;www.bbsandamiano.it;bbsandamiano@gmail.com;1956886.0;5128102.0;5;10;5;POINT (1956886 5128102);2;2;543102;ASSISANO
35;8884;2;54001;ASSISI;ALLA MADONNA DEL PIATTO;Agriturismo;2 spighe;Via  Petrata 37;PIEVE SAN NICOLO';06081;PG;0758199050;3287025297;;www.madonnadelpiatto.com;madonnadp@gmail.com;2324494.45673386;4773433.97946378;7;16;8;POINT (2324494.45673386 4773433.97946378);2;2;543102;ASSISANO
36;18692;2;54001;ASSISI;ALLE PORTE DI ASSISI di Serafini Angela;Bed & Breakfast;Bed & Breakfast;Via Lorenzo Perosi 20;;06081;PG;3475428230;3284198217;;www.alleportediassisi.com;info@alleportediassisi.com;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);2;2;543102;ASSISANO
37;17871;2;54001;ASSISI;ALLOGGIO ASSISI di Sementilli Maria Luisa;Bed & Breakfast;Bed & Breakfast;Viale Patrono d'Italia 45;SANTA MARIA DEGLI ANGELI;06081;PG;0758043712;;;;bballoggioassisi@gmail.com;1956886.0;5128102.0;3;6;2;POINT (1956886 5128102);2;2;543102;ASSISANO
38;4883;2;54001;ASSISI;ALUNNI MARIA;Affittacamere;Affittacamere;Via  dell' Acquaraio 3;;06081;PG;075813182;;075813182;;rufinox@libero.it;2326186.54618513;4771515.54684144;4;7;4;POINT (2326186.54618513 4771515.54684144);2;2;543102;ASSISANO
39;17649;2;54001;ASSISI;ANFIHOUSE di Neri Carlo;Affittacamere;Affittacamere;Via Anfiteatro Romano 3;;06081;PG;3357478813;075813405;;;carloneri57@gmail.com;1956886.0;5128102.0;1;2;1;POINT (1956886 5128102);2;2;543102;ASSISANO
40;17634;2;54001;ASSISI;ANTICA FONTE;Agriturismo;2 spighe;Via Petrata 1;;06081;PG;075816065;3496365463;;www.anticafonteassisi.com;info@anticafonteassisi.com;1956886.0;5128102.0;4;10;4;POINT (1956886 5128102);2;2;543102;ASSISANO
41;16910;2;54001;ASSISI;APPARTAMENTI ELISA di Aldofri Alfredo;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via Renaiola 5;;06081;PG;3388102411;;;www.appartamentielisa.com;a.aldofri@alice.it;1956886.0;5128102.0;2;12;3;POINT (1956886 5128102);2;2;543102;ASSISANO
42;18804;2;54001;ASSISI;APPARTAMENTI PIAZZA SANTA CHIARA di Merli Anna;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Piazza Santa Chiara 5;;06081;PG;3389749293;075813140;;www.appartamentipiazzasantachiara.com;fdbassisi@gmail.com;1956886.0;5128102.0;6;22;6;POINT (1956886 5128102);2;2;543102;ASSISANO
43;8749;2;54001;ASSISI;ARCO DEL VENTO di Pecetta Daniele;Affittacamere;Affittacamere;Via S. Maria delle Rose 1int 3;;06081;PG;075813605;;075813605;www.arcodelvento.com;dpecetta@gmail.com;2325971.27557426;4771487.31750904;5;11;5;POINT (2325971.27557426 4771487.31750904);2;2;543102;ASSISANO
44;18396;2;54001;ASSISI;ARETINO CAMERE di Rinaldi Giulia;Affittacamere;Affittacamere;Via Borgo Aretino 31;;06081;PG;3420494303;;;;giuliarinaldi@email.it;1956886.0;5128102.0;3;5;4;POINT (1956886 5128102);2;2;543102;ASSISANO
45;19347;2;54001;ASSISI;ARTE STUDIO GINESTRELLE di Merli Marina;Affittacamere;Affittacamere;Via San Rufino 29;;06081;PG;3388134078;;;;artestudioginestrelle@gmail.com;1956886.0;5128102.0;2;4;1;POINT (1956886 5128102);2;2;543102;ASSISANO
46;17003;2;54001;ASSISI;AS EASY AS IT SOUNDS di Lombardoni Marco;Bed & Breakfast;Bed & Breakfast;Via Carducci 5/a;SANTA MARIA DEGLI ANGELI;06081;PG;3886545969;0758040727;;;info@aseasy.it;1956886.0;5128102.0;2;3;2;POINT (1956886 5128102);2;2;543102;ASSISANO
47;13754;2;54001;ASSISI;ASSISANA di Roscini Vitali Raffaela;Affittacamere;Affittacamere;Via San Bonaventura 12;;06081;PG;3382823632;;;;raffaelarv@yahoo.it;2326029.62493;4771374.3524;3;6;2;POINT (2326029.62493 4771374.3524);2;2;543102;ASSISANO
48;19385;2;54001;ASSISI;ASSISI AL QUATTRO;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via S. Apollinare 4;;06081;PG;336795200;075813750;;www.assisialquattro.it;info@assisialquattro.it;1956886.0;5128102.0;1;5;1;POINT (1956886 5128102);2;2;543102;ASSISANO
49;18539;2;54001;ASSISI;ASSISI CHARME di Ciceroni Daniela;Bed & Breakfast;Bed & Breakfast;Via Cavour 27;SANTA MARIA DEGLI ANGELI;06081;PG;3666068237;3669792215;;;alessandropica@hotmail.com;1956886.0;5128102.0;1;2;1;POINT (1956886 5128102);2;2;543102;ASSISANO
50;9546;2;54001;ASSISI;ASSISI GARDEN;Country house;Country house;Via San Pietro Campagna 154;;06081;PG;075812328;;0758155300;www.assisigarden.it;info@assisigarden.it;2324761.98439845;4771223.80718551;28;77;29;POINT (2324761.98439845 4771223.80718551);2;2;543102;ASSISANO
51;14426;2;54001;ASSISI;ASSISI GLAMOUR COUNTRY;Country house;Country house;Via Santa Margherita Campagna 22;;06081;PG;075816148;3201484065;0757823114;www.assisiglamour.com, www.assisicountry.com;info@assisiglamour.com, info@assisicountry.com;2326798.39876;4774349.21579;9;27;9;POINT (2326798.39876 4774349.21579);2;2;543102;ASSISANO
52;16839;2;54001;ASSISI;ASSISI VALLE DEL CHIASCIO di Bornicchia Francesca;Affittacamere;Affittacamere;Via del Ponte 29;PETRIGNANO;06081;PG;0758038701;3319412139;;www.assisivalledelchiascio.it;francesca.b1962@libero.it;1956886.0;5128102.0;2;5;1;POINT (1956886 5128102);2;2;543102;ASSISANO
53;16623;2;54001;ASSISI;ASSISIUM;Agriturismo;1 spiga;Via Tescio 6;SANTA MARIA DEGLI ANGELI;06081;PG;3392432883;0758043305;;www.assisium.com;info@assisium.com;1956886.0;5128102.0;11;22;11;POINT (1956886 5128102);2;2;543102;ASSISANO
54;18977;2;54001;ASSISI;ASSISIUM ANTICA DIMORA AD;Albergo;1 stella;Piazza San Pasquale 4;CASTELNUOVO;06081;PG;0758042677;3925804516;0758042677;www.assisiumanticadimora.octosite.net;assisiumanticadimora@gmail.com;1956886.0;5128102.0;7;10;7;POINT (1956886 5128102);2;2;543102;ASSISANO
55;18299;2;54001;ASSISI;AURORA DELLE ROSE di Gaudenzi Francesco;Affittacamere;Affittacamere;Via San Paolo 14;;06081;PG;3337502598;3343535550;;;auroradellerose@libero.it;1956886.0;5128102.0;1;2;1;POINT (1956886 5128102);2;2;543102;ASSISANO
56;17844;2;54001;ASSISI;AZIENDA AGRARIA PARADISO 44;Agriturismo;3 spighe;Paradiso - Voc.Trittello 44;;06081;PG;0759975740;3315021674;;www.paradiso44.com;info@paradiso44.com;1956886.0;5128102.0;4;8;4;POINT (1956886 5128102);2;2;543102;ASSISANO
57;7220;2;54001;ASSISI;AZIENDA AGRITURISTICA - RESIDENZA OASI BATTIFOGLIA DI ENZO BECCHETTI;Agriturismo;4 spighe;Voc. Battifoglia - Paradiso 33;;06081;PG;075802320;;075802320;www.oasibattifoglia.com;info@oasibattifoglia.com;2326336.49388374;4770941.5552175;6;20;8;POINT (2326336.49388374 4770941.5552175);2;2;543102;ASSISANO
58;9834;2;54001;ASSISI;AZIENDA AGRITURISTICA TORDONI DANIELA;Agriturismo;4 spighe;Via del Paduletto ;CAPODACQUA;06081;PG;0758065810;;0758064986;;info@valledelsubasio.it;2326865.23258761;4767384.37472186;15;30;15;POINT (2326865.23258761 4767384.37472186);2;2;543102;ASSISANO
59;18181;2;54001;ASSISI;B & B CANTICO DELLE CREATURE di Caporali Giulia;Bed & Breakfast;Bed & Breakfast;Via Cantico delle Creature 5;;06081;PG;075813258;3281897227;;www.canticodellecreature.com;info@canticodellecreature.com;1956886.0;5128102.0;5;10;5;POINT (1956886 5128102);2;2;543102;ASSISANO
60;10993;2;54001;ASSISI;B & B CHIARA di Segantini Chiara;Bed & Breakfast;Bed & Breakfast;Via P. Uber 10;PETRIGNANO;06081;PG;0758039611;3384387238;;;info@bbchiara.it;2318999.18377;4775786.76858;1;2;1;POINT (2318999.18377 4775786.76858);2;2;543102;ASSISANO
61;17912;2;54001;ASSISI;B & B DA GIULIANA di Tardioli Giancarlo;Bed & Breakfast;Bed & Breakfast;Via Armando Diaz 11;SANTA MARIA DEGLI ANGELI;06081;PG;0758041774;3402513022;;;tardiolig@gmail.com;1956886.0;5128102.0;1;2;1;POINT (1956886 5128102);2;2;543102;ASSISANO
62;17750;2;54001;ASSISI;B & B FONTE FERRO di Romagnoli Andrea;Bed & Breakfast;Bed & Breakfast;Via San Gregorio 5/4;;06081;PG;3385458303;;;www.fonteferro.it;info@fonteferro.it;1956886.0;5128102.0;3;8;2;POINT (1956886 5128102);2;2;543102;ASSISANO
63;7902;2;54001;ASSISI;B & B IL SENTIERO DI ARMENZANO di Calzolari Sara;Bed & Breakfast;Bed & Breakfast;Armenzano 70;ARMENZANO;06081;PG;3471558278;;0758019037;www.ilsentierodiarmenzano.it;info@ilsentierodiarmenzano.it;2332755.04617401;4772791.16647498;3;6;3;POINT (2332755.04617401 4772791.16647498);2;2;543102;ASSISANO
191;4847;2;54001;ASSISI;HOTEL LA ROCCA;Albergo;2 stelle;Via  Porta  Perlici 27;;06081;PG;075812284;;075816467;www.hotelarocca.it;info@hotelarocca.it;2326148.43759;4771528.82165;18;33;18;POINT (2326148.43759 4771528.82165);2;2;543102;ASSISANO
64;18261;2;54001;ASSISI;B & B IL SENTIERO DI ASSISI di Segatori Filippo;Bed & Breakfast;Bed & Breakfast;Via delle Acacie 3;VIOLE;06081;PG;3292042059;3389948956;0758065573;;ilsentierodiassisi@gmail.com;1956886.0;5128102.0;3;7;3;POINT (1956886 5128102);2;2;543102;ASSISANO
65;7881;2;54001;ASSISI;B & B IN ASSISI di Bartoloni Marcella;Bed & Breakfast;Bed & Breakfast;Via Cimabue 31;SANTA MARIA DEGLI ANGELI;06081;PG;0758040282;;;www.bbassisi.it;bbassisi@gmail.com;2322437.26042678;4770690.47098308;3;5;2;POINT (2322437.26042678 4770690.47098308);2;2;543102;ASSISANO
66;18042;2;54001;ASSISI;B & B IRIS di Pirani Marcello;Bed & Breakfast;Bed & Breakfast;Viale Maratona 61;SANTA MARIA DEGLI ANGELI;06081;PG;3486905617;3351911641;;;cristinalucaroni@alice.it;1956886.0;5128102.0;3;6;2;POINT (1956886 5128102);2;2;543102;ASSISANO
67;17951;2;54001;ASSISI;B & B L'ALLORO di Tacconi Maria Elena;Bed & Breakfast;Bed & Breakfast;Via Protomartiri Francescani 101;SANTA MARIA DEGLI ANGELI;06081;PG;3483881444;0758040007;;;etacconi@hotmail.com;1956886.0;5128102.0;2;3;2;POINT (1956886 5128102);2;2;543102;ASSISANO
68;17103;2;54001;ASSISI;B & B LA CAPINERA di Antonini Cristiana;Bed & Breakfast;Bed & Breakfast;Via Onorio III 22;SANTA MARIA DEGLI ANGELI;06081;PG;3357312837;;;www.bblacapineradiassisi.com;lacapinerabb@yahoo.it;1956886.0;5128102.0;3;6;3;POINT (1956886 5128102);2;2;543102;ASSISANO
69;17966;2;54001;ASSISI;B & B LA GIARA di Cannelli Antonella;Bed & Breakfast;Bed & Breakfast;Via Assisana 66;RIVOTORTO;06081;PG;0758065412;3331743990;;;lagiarassisi@libero.it;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);2;2;543102;ASSISANO
70;18557;2;54001;ASSISI;B & B LA GIOIOSA di Capitani Francesco;Bed & Breakfast;Bed & Breakfast;Via Caminaccio di Mezzo 10;SANTA MARIA DEGLI ANGELI;06081;PG;3911215737;;;;fclagioiosa@outlook.it;1956886.0;5128102.0;3;7;2;POINT (1956886 5128102);2;2;543102;ASSISANO
71;17967;2;54001;ASSISI;B & B LE GIARE di Cannelli Stefano;Bed & Breakfast;Bed & Breakfast;Via Assisana 66;RIVOTORTO;06081;PG;3883670212;3299282864;0758190147;;legiarediassisi@gmail.com;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);2;2;543102;ASSISANO
72;15280;2;54001;ASSISI;B & B NADIA di Cupkovich Nadia;Bed & Breakfast;Bed & Breakfast;Via San Benedetto 34;;06081;PG;3485115276;075813239;;www.bbnadia.info;info@assisibbnadia.com;2326899.5872;4770422.45074;1;3;1;POINT (2326899.5872 4770422.45074);2;2;543102;ASSISANO
73;16957;2;54001;ASSISI;B & B RAFFIORI di Scafocchia Raffaella;Bed & Breakfast;Bed & Breakfast;Via Protomartiri Francescani 84;SANTA MARIA DEGLI ANGELI;06081;PG;3494644544;0758041201;0758041201;www.raffiori.com;raffiori@gmail.com;1956886.0;5128102.0;3;5;3;POINT (1956886 5128102);2;2;543102;ASSISANO
74;18326;2;54001;ASSISI;B & B SOGNANDO TE di Biondi Filippo;Bed & Breakfast;Bed & Breakfast;Via San Paolo 30/E;;06081;PG;075813739;3666810498;075813739;www.sognandote.it;info@sognandote.it;1956886.0;5128102.0;1;3;1;POINT (1956886 5128102);2;2;543102;ASSISANO
75;9625;2;54001;ASSISI;B & B SORELLA LUNA di Lista Roberto;Bed & Breakfast;Bed & Breakfast;VIA PATRONO D'ITALIA 3/B;SANTA MARIA DEGLI ANGELI;06081;PG;3394495686;;;;sorellalunassisi@yahoo.com;2323000.18547878;4770216.38297947;2;3;2;POINT (2323000.18547878 4770216.38297947);2;2;543102;ASSISANO
76;15276;2;54001;ASSISI;B & B TIZIANA di Carloni Tiziana;Bed & Breakfast;Bed & Breakfast;Viale della Pace 23;RIVOTORTO;06081;PG;0758065114;3491599393;0758065114;www.assisicameretiziana.com;info@assisicameretiziana.com;2326091.86465;4768484.16268;3;6;3;POINT (2326091.86465 4768484.16268);2;2;543102;ASSISANO
77;18640;2;54001;ASSISI;B & B TORREMATTA BORGO SAN GIOVANNI di Pansini Ferdinando;Bed & Breakfast;Bed & Breakfast;Via della Regola 27;RIVOTORTO;06081;PG;3478571152;3478162925;;;info.torrematta@gmail.com;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);2;2;543102;ASSISANO
78;18663;2;54001;ASSISI;BASALETTO;Agriturismo;3 spighe;Loc. Basaletto snc;;06081;PG;3296198360;3487908375;;www.basaletto.it;info@basaletto.it;1956886.0;5128102.0;5;10;5;POINT (1956886 5128102);2;2;543102;ASSISANO
79;18921;2;54001;ASSISI;BAZZOFFIA GIOVANNI;Affittacamere;Affittacamere;Via Francesca 28;;06081;PG;075812209;3394874775;;;info@hotelgiottoassisi.it;1956886.0;5128102.0;3;8;3;POINT (1956886 5128102);2;2;543102;ASSISANO
80;5047;2;54001;ASSISI;BAZZUCCHI LUIGIA;Affittacamere;Affittacamere;Via S. Bernardino da Siena 61;SANTA MARIA DEGLI ANGELI;06081;PG;0758043411;;0758043411;;giancarlogt4@alice.it;2321994.14707033;4769000.48132445;6;11;6;POINT (2321994.14707033 4769000.48132445);2;2;543102;ASSISANO
81;7996;2;54001;ASSISI;BORGO COLDERBA;Agriturismo;3 spighe;Via della Passerella 1;;06081;PG;075816809;3397874812;051300038;www.borgocolderba.com;anthea.boynton@gmail.com;2323836.3440459;4772066.28413864;3;10;3;POINT (2323836.3440459 4772066.28413864);2;2;543102;ASSISANO
82;16420;2;54001;ASSISI;BORGO SAN FORTUNATO;Casa per ferie;Casa per ferie;Via San Fortunato 36;;06081;PG;064070789;3335483303;064076279;www.borgosanfortunatoassisi.com;sanfortunato@anvercooperativasociale.com;1956886.0;5128102.0;11;36;14;POINT (1956886 5128102);2;2;543102;ASSISANO
83;9835;2;54001;ASSISI;BORRINI FRANCESCA;Agriturismo;2 spighe;Via di Mezzo 46;RIVOTORTO;06081;PG;3473127784;3931560708;;www.agriturismoborrini.it;info@agriturismoborrini.it;2326753.64223225;4768463.74818122;5;10;5;POINT (2326753.64223225 4768463.74818122);2;2;543102;ASSISANO
84;18285;2;54001;ASSISI;BOSCOVECCHIO di Famoso Paola;Bed & Breakfast;Bed & Breakfast;Santa Maria di Lignano 41;SANTA MARIA DI LIGNANO;06081;PG;3345750481;3386039535;;www.boscovecchioassisi.it;boscovecchio2014@libero.it;1956886.0;5128102.0;2;3;2;POINT (1956886 5128102);2;2;543102;ASSISANO
85;5056;2;54001;ASSISI;BRIGOLANTE;Agriturismo;2 spighe;Costa di Trex 31;COSTA DI TREX;06081;PG;075802250;;075802250;www.brigolante.com;info@brigolante.com;2329976.29185;4774137.55448;3;10;3;POINT (2329976.29185 4774137.55448);2;2;543102;ASSISANO
